,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
2020-07-21,880.16930052,897.41862152,879.03447677,894.94470575,42877799.30477406,2230.0,2238.6499,2201.1499,2225.05,2665386.0,576.025,578.975,567.0,569.275,47515536.0
2020-07-22,900.14219852,912.39829502,890.01957067,909.67471802,60768839.65310618,2231.0,2231.0,2184.2,2190.95,2861698.0,569.25,572.25,558.775,563.175,24718048.0
2020-07-23,909.65202155,944.03718117,903.93250985,934.09612512,59306694.09970304,2190.95,2190.95,2163.0,2171.2,2265791.0,562.5,571.95,558.125,565.2,20149610.0
2020-07-24,934.18691102,981.84950852,934.09612512,974.20075106,122611094.89164554,2154.5,2163.0,2125.1001,2157.3999,3665123.0,561.45,561.45,550.625,559.55,19598444.0
2020-07-27,989.02159462,998.10018462,965.91653768,978.76278792,81644724.56423128,2165.0,2215.0,2163.5,2206.8,4248837.0,549.925,551.5,537.675,539.75,37970334.0
2020-07-28,978.76278792,995.92132302,976.24343381,988.52227217,56034291.667248,2215.0,2320.0,2215.0,2309.75,8092458.0,539.5,547.2,529.75,543.325,35596660.0
2020-07-29,988.61301268,990.83731262,939.8383333,951.73124081,73880109.1340545,2292.0,2342.0,2246.05,2276.05,6090440.0,540.5,544.25,527.775,532.3,33593304.0
2020-07-30,952.79802052,971.27295117,940.54192402,957.26927149,74074313.30011512,2285.8999,2358.0,2272.25,2279.5,7098913.0,537.0,541.825,523.35,525.325,26957902.0
2020-07-31,959.83392777,966.41590552,931.82647762,938.31771487,76208695.4012474,2303.1499,2334.8,2257.45,2281.3999,4723290.0,528.85,528.85,510.025,516.4,37730460.0
2020-08-03,931.14558337,933.73298152,909.26618147,911.94436552,47496664.1283819,2290.45,2303.8501,2230.7,2254.1499,4012445.0,512.975,513.475,496.5,501.0,31783562.0
2020-08-04,917.20994772,983.66522652,907.9724824,976.22082812,93576700.78491189,2259.95,2269.6499,2225.05,2249.7,2927953.0,504.0,530.525,501.5,520.825,60306836.0
2020-08-05,984.57308552,996.82918202,961.55885987,965.2583853,75795659.89684562,2260.0,2300.0,2253.0,2259.5,3800641.0,523.975,527.9,510.0,513.775,33221392.0
2020-08-06,979.12593152,983.98297717,956.79260012,968.73099137,50145949.9755677,2275.0,2319.5,2265.3501,2308.1001,4748348.0,518.5,527.5,513.125,520.35,33647116.0
